forward	reverse	sample	comment
H2O-E728-041_S13_L001_R1_001.fastq.gz	H2O-E728-041_S13_L001_R2_001.fastq.gz	H2O
V12333-E728-029_S1_L001_R1_001.fastq.gz	V12333-E728-029_S1_L001_R2_001.fastq.gz	auh-s67_V12333
V12334-E728-030_S2_L001_R1_001.fastq.gz	V12334-E728-030_S2_L001_R2_001.fastq.gz	auh-s68_V12334
